Student_ID,Age,Gender,Marital_Status,Course,Application_Method,Residence_Location,Parental_Education,Parental_Income_Level,Employment_Status,Enrolled_Units,Credited_Units,Evaluated_Units,Approved_Units,Average_grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year,student_status,Pass_rate_%,Academic_performance,Progression_success,Student_risk,WP_indicator
STUD_1,30,Female,Married,Management,In-person,Rural,High School,83337,Employed,6,5,5,5,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_3,29,Female,Widowed,Journalism,In-person,Urban,PhD,117523,Employed,7,3,2,3,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,Non-WP Group
STUD_5,26,Other,Married,Agronomy,Online,Rural,Master,98967,Part-time,2,3,4,3,3,0,5,3,25000,2021,withdrew,75,Medium,Successful,High,WP Group
STUD_6,18,Other,Widowed,Agronomy,In-person,Rural,Bachelor,20900,Part-time,4,7,7,2,1,0,5,3,25000,2021,withdrew,29,Low,At Risk,High,WP Group
STUD_7,23,Male,Widowed,Agronomy,Online,Suburban,Master,54013,Part-time,7,4,7,5,3,0,5,3,25000,2021,withdrew,71,Medium,At Risk,High,WP Group
STUD_8,19,Female,Married,Nursing,Referral,Rural,Bachelor,91181,Part-time,2,4,4,6,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_9,19,Male,Single,Journalism,In-person,Suburban,Bachelor,115416,Unemployed,8,7,2,5,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,Non-WP Group
STUD_10,19,Male,Widowed,Technologies,In-person,Rural,High School,69939,Unemployed,7,4,6,5,3,0,5,3,25000,2021,withdrew,83,Medium,Successful,High,WP Group
STUD_11,30,Male,Married,Agronomy,Online,Suburban,High School,107313,Unemployed,8,3,7,8,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_12,18,Female,Widowed,Technologies,In-person,Suburban,PhD,83689,Employed,3,1,8,7,0,1,5,3,25000,2021,continued,88,Low,Successful,Low,Non-WP Group
STUD_13,25,Female,Single,Nursing,In-person,Urban,Bachelor,85657,Part-time,8,8,6,6,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
