Student_ID,Age,Gender,Marital_Status,Course_Chosen,Application_Mode,Residence_Location,Parental_Education,Employment_Status,Semester_Enrolled_Units,Semester_Credited_Units,Semester_Evaluated_Units,Semester_Approved_Units,Semester_Average_Grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year
STUD_1,30,Female,Married,Management,In-person,Rural,High School,Employed,6,5,5,5,2.34,1,5,2.5,25000,2021
STUD_3,29,Female,Widowed,Journalism,In-person,Urban,PhD,Employed,7,3,2,3,2.29,1,5,2.5,25000,2021
STUD_5,26,Other,Married,Agronomy,Online,Rural,Master,Part-time,2,3,4,3,2.5,0,5,2.5,25000,2021
STUD_6,18,Other,Widowed,Agronomy,In-person,Rural,Bachelor,Part-time,4,7,7,2,1.41,0,5,2.5,25000,2021
STUD_7,23,Male,Widowed,Agronomy,Online,Suburban,Master,Part-time,7,4,7,5,2.57,0,5,2.5,25000,2021
STUD_8,19,Female,Married,Nursing,Referral,Rural,Bachelor,Part-time,2,4,4,6,0.3,1,5,2.5,25000,2021
STUD_9,19,Male,Single,Journalism,In-person,Suburban,Bachelor,Unemployed,8,7,2,5,3.05,0,5,2.5,25000,2021
STUD_10,19,Male,Widowed,Technologies,In-person,Rural,High School,Unemployed,7,4,6,5,3.26,0,5,2.5,25000,2021
STUD_11,30,Male,Married,Agronomy,Online,Suburban,High School,Unemployed,8,3,7,8,1.1,0,5,2.5,25000,2021
STUD_12,18,Female,Widowed,Technologies,In-person,Suburban,PhD,Employed,3,1,8,7,0.3,1,5,2.5,25000,2021
STUD_13,25,Female,Single,Nursing,In-person,Urban,Bachelor,Part-time,8,8,6,6,1.55,1,5,2.5,25000,2021
STUD_14,22,Female,Married,Technologies,Referral,Rural,Bachelor,Employed,4,3,5,0,2.29,0,5,2.5,25000,2021
STUD_15,30,Other,Single,Management,Online,Suburban,None,Employed,6,7,1,8,0.65,0,5,2.5,25000,2021
STUD_16,25,Male,Married,Social Service,In-person,Urban,High School,Part-time,4,1,1,6,1.4,0,5,2.5,25000,2021
STUD_17,20,Female,Divorced,Management,Referral,Rural,Master,Employed,4,2,3,3,2.36,1,5,2.5,25000,2021
STUD_18,19,Female,Divorced,Management,Referral,Urban,PhD,Part-time,5,2,0,1,0.26,0,5,2.5,25000,2021
STUD_19,18,Other,Widowed,Agronomy,Referral,Rural,High School,Unemployed,2,3,3,4,3.81,1,5,2.5,25000,2021
STUD_20,30,Female,Married,Nursing,Online,Urban,High School,Part-time,8,7,3,0,3.48,0,5,2.5,25000,2021
STUD_21,23,Male,Married,Social Service,Referral,Rural,High School,Employed,7,1,7,8,1.68,0,5,2.5,25000,2021
STUD_22,27,Other,Married,Management,In-person,Urban,PhD,Employed,7,3,3,8,0.64,0,5,2.5,25000,2021
STUD_24,25,Other,Widowed,Technologies,Online,Rural,Master,Employed,2,4,6,1,1.04,0,5,2.5,25000,2021
STUD_25,26,Male,Divorced,Social Service,Online,Urban,Bachelor,Employed,3,2,0,0,3.12,0,5,2.5,25000,2021
STUD_26,27,Other,Married,Technologies,In-person,Urban,Master,Employed,2,4,3,7,0.91,1,5,2.5,25000,2021
STUD_27,24,Other,Married,Design,Online,Urban,High School,Employed,8,5,1,2,0.84,0,5,2.5,25000,2021
STUD_28,28,Other,Married,Education,Referral,Rural,PhD,Part-time,2,5,3,0,1.74,1,5,2.5,25000,2021
STUD_29,20,Female,Divorced,Agronomy,In-person,Rural,Master,Unemployed,8,1,7,7,0.41,1,5,2.5,25000,2021
STUD_30,30,Male,Widowed,Education,Online,Rural,High School,Unemployed,1,7,8,8,5.603448359,1,5,2.5,25000,2021
